"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000160190",5183.04749735759,-1.15666500363546,0.0570664707227177,-20.2687320415455,2.42833031838259e-91,2.63662980850717e-89
"ENSG00000129682",3747.79231684752,-1.26279218700597,0.0624540243111043,-20.2195487149969,6.58830345167786e-91,7.08226232240813e-89
"ENSG00000007968",667.767400997079,-2.73428016837764,0.135572634500744,-20.1683782162,1.8562672871395e-90,1.98556273629818e-88
"ENSG00000118263",1893.02425493039,1.72616372226271,0.0856401943178806,20.1559995982203,2.38394967286538e-90,2.53743845229568e-88
"ENSG00000106789",2294.47439466862,-1.54796761606076,0.076937904448118,-20.1197007790173,4.96062905022836e-90,5.25413293570021e-88
"ENSG00000070081",1968.24916201188,-1.61757434582142,0.0805313559768813,-20.086267345179,9.73083123597342e-90,1.0256296122716e-87
"ENSG00000104413",4345.88594286334,-1.19301356272414,0.0594608465645299,-20.0638509481937,1.52781082957867e-89,1.60249556284982e-87
"ENSG00000076003",2978.17858792156,-1.40200164980937,0.0698884047324642,-20.0605759306754,1.63183055202241e-89,1.70333153321489e-87
"ENSG00000176658",2945.11937453884,-1.46702631338922,0.0732916427237262,-20.0162836971631,3.97271097057091e-89,4.12684451640027e-87
"ENSG00000280287",1264.45421999937,2.02984752244169,0.101426725957214,20.0129453384699,4.24792514113125e-89,4.3916228959054e-87
"ENSG00000174243",8413.67382388005,1.00356473303596,0.0501797061566058,19.9994143031434,5.57230054097389e-89,5.73336656137252e-87
"ENSG00000113719",6339.9723347883,-1.3451458554879,0.0673856363069285,-19.9619077478325,1.18115942807913e-88,1.20954084182492e-86
"ENSG00000165175",3890.34379417896,-1.23361998656827,0.0619142277956583,-19.9246607845891,2.48725991222892e-88,2.53501060960048e-86
"ENSG00000196167",12305.4529237105,-1.04778017377488,0.0526009465788452,-19.9194167010726,2.7618933001816e-88,2.80170087028281e-86
"ENSG00000242498",3802.14238314635,-1.26938093769074,0.0637269063480331,-19.9190735975514,2.78088139219779e-88,2.80778057201952e-86
"ENSG00000154027",1678.81434402135,-1.69087665567968,0.0849003629032318,-19.9160121094761,2.95618086735524e-88,2.97089302329975e-86
"ENSG00000182240",1812.81720317311,-1.77080527586599,0.0891263722748971,-19.8684769801266,7.6282335860674e-88,7.63070569880362e-86
"ENSG00000156802",6172.11152857187,-1.26507423182983,0.0640466712958043,-19.7523806660769,7.65240418142396e-87,7.58465583247832e-85
"ENSG00000119699",771.315372915512,2.8070551944809,0.142373168435152,19.716181253348,1.56616381499178e-86,1.54521011646244e-84
"ENSG00000082556",709.843380038799,3.02292871397579,0.153328002778827,19.7154378795132,1.58934650601898e-86,1.56095499797964e-84
"ENSG00000162819",3634.26240605269,-1.25324227775232,0.0638372131071899,-19.6318450751913,8.26578822041457e-86,8.08139756011302e-84
"ENSG00000166508",5856.65238531797,-1.12861534173855,0.0575074194832247,-19.6255605255905,9.35397308701025e-86,9.10411245455092e-84
