ucsc external_gene_name ensembl_gene_id
uc002ojf.4 LGALS7B ENSG00000178934
uc002oji.3 ECH1 ENSG00000104823
uc002okw.2 LRFN1 ENSG00000128011
uc002olh.2 ZFP36 ENSG00000128016
uc002onw.2 BLVRB ENSG00000090013
uc002owl.1 LYPD3 ENSG00000124466
uc002oxl.3 KCNN4 ENSG00000104783
uc002ozt.2 BCAM ENSG00000187244
uc002pbv.3 ERCC1 ENSG00000012061
uc002pbw.3 FOSB ENSG00000125740
uc002pdb.3 SIX5 ENSG00000177045
uc002pgj.1 C5AR1 ENSG00000197405
uc002piv.2 EMP3 ENSG00000142227
uc002pjn.2 FAM83E ENSG00000105523
uc002pug.3 KLK5 ENSG00000167754
uc002qan.4 ZNF702P ENSG00000242779
uc002qfz.1 CDC42EP5 ENSG00000167617
uc002qxa.3 PXDN ENSG00000130508
uc002qxw.3 RPS7 ENSG00000171863
uc002qyo.4 CMPK2 ENSG00000134326
uc002qyp.1 RSAD2 ENSG00000134321
uc002qza.3 ID2 ENSG00000115738
uc002rbv.4 TRIB2 ENSG00000071575
uc002rdv.3 RHOB ENSG00000143878
uc002rma.3 FOSL2 ENSG00000075426
uc002rmc.3 PLB1 ENSG00000163803
uc002rpd.3 CRIM1 ENSG00000150938
uc002rqo.2 CYP1B1 ENSG00000138061
uc002rvx.3 EPCAM ENSG00000119888
uc002ryb.4 EML6 ENSG00000214595
uc002seh.3 PNO1 ENSG00000115946
uc002sgp.3 SNRPG ENSG00000143977
uc002sll.2 WBP1 ENSG00000239779
uc002soy.3 TCF7L1 ENSG00000152284
uc002sqn.3 ATOH8 ENSG00000168874
uc002the.2 MIR4435-1HG ENSG00000172965
uc002thf.4 MIR4435-1HG ENSG00000172965
uc002tib.3 SLC20A1 ENSG00000144136
uc002tig.3 IL1A ENSG00000115008
uc002tii.1 IL1B ENSG00000125538
uc002tly.3 TMEM37 ENSG00000171227
uc002tmn.2 INHBB ENSG00000163083
uc002uce.4 IFIH1 ENSG00000115267
uc002uhn.3 DLX2 ENSG00000115844
uc002uki.3 HOXD11 ENSG00000128713
uc002ukj.3 HOXD10 ENSG00000128710
uc002unu.3 ITGA4 ENSG00000115232
uc002upy.3 TFPI ENSG00000003436
uc002uqk.3 COL5A2 ENSG00000204262
uc002uug.3 SF3B1 ENSG00000115524
uc002uul.3 HSPE1 ENSG00000115541
uc002uxn.3 CASP8 ENSG00000064012
uc002uzl.3 WDR12 ENSG00000138442
uc002vfo.3 MREG ENSG00000118242
uc002vgb.3 MARCH4 ENSG00000144583
uc002vgj.4 IGFBP5 ENSG00000115461
uc002vjd.1 WNT10A ENSG00000135925
uc002vlm.3 SPEG ENSG00000072195
uc002vpv.3 DNER ENSG00000187957
uc002vsq.3 ALPP ENSG00000163283
uc002vss.4 ALPPL2 ENSG00000163286
uc002vta.3 EIF4E2 ENSG00000135930
uc002vvn.3 ARL4C ENSG00000188042
uc002vxj.3 RAMP1 ENSG00000132329
uc002vyg.3 ASB1 ENSG00000065802
uc002wax.2 ANO7 ENSG00000146205
uc002wdi.4 NRSN2 ENSG00000125841
uc002wkr.2 ADRA1D ENSG00000171873
uc002wme.4 GPCPD1 ENSG00000125772
uc002wmu.1 BMP2 ENSG00000125845
uc002wqb.3 SNX5 ENSG00000089006
uc002wqf.1 SNORD17 ENSG00000212232
uc002wwh.2 ID1 ENSG00000125968
uc002xau.1 TP53INP2 ENSG00000078804
uc002xgh.2 SAMHD1 ENSG00000101347
uc002xhk.4 VSTM2L ENSG00000132821
uc002xji.3 MAFB ENSG00000204103
uc002xjl.3 TOP1 ENSG00000198900
uc002xne.2 WFDC5 ENSG00000175121
uc002xng.3 PI3 ENSG00000124102
uc002xnm.1 SLPI ENSG00000124107
uc002xuz.3 SNAI1 ENSG00000124216
uc002xyq.4 PMEPA1 ENSG00000124225
uc002ybj.1 C20orf197 ENSG00000176659
uc002ybn.2 CDH4 ENSG00000179242
uc002ycw.2 RBBP8NL ENSG00000130701
uc002ydf.3 NTSR1 ENSG00000101188
uc002yfe.2 EEF1A2 ENSG00000101210
uc002yfm.2 HELZ2 ENSG00000130589
